"time_period","time_identifier","geographic_level","country_code","country_name","region_name_provider","region_code_provider","num_providers","decrease_over_10_pct","decrease_5_10_pct","within_5_pct","increase_5_10_pct","increase_over_10_pct"
"202122","Tax year","National","K02000001","United Kingdom","1. All regions in Scotland",NA,15,0,0,33.3,26.7,40
"202122","Tax year","National","K02000001","United Kingdom","2. North East",NA,5,0,20,20,20,40
"202122","Tax year","National","K02000001","United Kingdom","3. Yorkshire and The Humber",NA,11,0,0,45.5,18.2,36.4
"202122","Tax year","National","K02000001","United Kingdom","4. East of England",NA,9,0,11.1,66.7,11.1,11.1
"202122","Tax year","National","K02000001","United Kingdom","5. East Midlands",NA,9,0,0,88.9,0,11.1
"202122","Tax year","National","K02000001","United Kingdom","6. South West",NA,12,0,0,66.7,25,8.3
"202122","Tax year","National","K02000001","United Kingdom","7. North West",NA,14,0,0,35.7,64.3,0
"202122","Tax year","National","K02000001","United Kingdom","8. All regions in Wales",NA,8,0,0,62.5,37.5,0
"202122","Tax year","National","K02000001","United Kingdom","9. West Midlands",NA,11,0,9.1,63.6,27.3,0
"202122","Tax year","National","K02000001","United Kingdom","10. South East",NA,18,5.6,16.7,77.8,0,0
"202122","Tax year","National","K02000001","United Kingdom","11. London",NA,30,16.7,33.3,50,0,0
