"time_period","time_identifier","geographic_level","country_code","country_name","subject_name","providers_outcomes","outcomes_min","outcomes_LQ","outcomes_median","outcomes_UQ","outcomes_max","outcomes_diff","providers_earnings","earnings_min","earnings_LQ","earnings_median","earnings_UQ","earnings_max","earnings_diff"
"202122","Tax year","National","K03000001","Great Britain","Agriculture, food and related studies",36,75.4,84.8,89.1,92.7,100,24.6,34,18200,23100,25900,29400,35800,17500
"202122","Tax year","National","K03000001","Great Britain","Allied health",93,57.9,86.7,90.5,92.9,100,42.1,89,14600,29200,30700,33600,51500,36900
"202122","Tax year","National","K03000001","Great Britain","Architecture, building and planning",64,66.7,84.5,88.1,91.3,100,33.3,62,24800,28800,32400,38000,52200,27400
"202122","Tax year","National","K03000001","Great Britain","Biosciences",98,71.4,85.9,88.1,90.7,100,28.6,97,20800,26800,29200,31800,43800,23000
"202122","Tax year","National","K03000001","Great Britain","Business and management",126,69.6,85,87.5,89.6,93.8,24.2,126,21400,27000,30900,37900,63900,42500
"202122","Tax year","National","K03000001","Great Britain","Celtic studies",6,81.8,84.2,86.1,92.5,95.6,13.7,4,25200,26300,27400,28700,30300,5100
"202122","Tax year","National","K03000001","Great Britain","Chemistry",54,75.5,86.2,89.2,91.6,100,24.5,50,24500,30100,32200,35000,52700,28300
"202122","Tax year","National","K03000001","Great Britain","Combined and general studies",11,68.5,79.1,82.4,90.7,100,31.5,8,21900,26400,27200,30800,40500,18600
"202122","Tax year","National","K03000001","Great Britain","Computing",108,72.7,82.6,85.3,89.2,98.8,26.1,106,23400,30700,36000,45500,99600,76300
"202122","Tax year","National","K03000001","Great Britain","Creative arts and design",96,69.2,80.2,83.7,86.5,92.7,23.5,94,15300,22300,23700,25900,32800,17500
"202122","Tax year","National","K03000001","Great Britain","Economics",73,60.5,83.2,86.4,88.9,96.1,35.6,67,27000,36100,42200,49500,83600,56600
"202122","Tax year","National","K03000001","Great Britain","Education and teaching",83,76,86.1,88.5,90.7,95.8,19.8,81,17900,25200,27000,29900,35000,17200
"202122","Tax year","National","K03000001","Great Britain","Engineering",92,79,85.7,88.9,90.9,100,21,90,27200,35400,37800,39700,60200,33000
"202122","Tax year","National","K03000001","Great Britain","English studies",107,64.8,82.5,85.3,88.2,95.3,30.5,106,19700,24200,26300,28800,33900,14200
"202122","Tax year","National","K03000001","Great Britain","General, applied and forensic sciences",38,76.2,85,87.3,90.5,96.6,20.4,37,21500,25200,26600,28500,44200,22600
"202122","Tax year","National","K03000001","Great Britain","Geography, earth and environmental studies",73,73.1,85.9,89.2,91.7,100,26.9,72,23700,28100,29900,33600,47800,24100
"202122","Tax year","National","K03000001","Great Britain","Health and social care",81,81.2,87.6,90.5,93.3,100,18.8,80,16100,24600,29900,34300,39400,23300
"202122","Tax year","National","K03000001","Great Britain","History and archaeology",96,73.7,85.2,87.3,89.8,97.4,23.7,96,19900,24400,27200,29900,47400,27600
"202122","Tax year","National","K03000001","Great Britain","Languages and area studies",65,47.1,77.3,81.1,85.9,96.1,49,61,21200,27000,29600,32800,44200,23000
"202122","Tax year","National","K03000001","Great Britain","Law",99,66.4,84.5,88.2,91.1,100,33.6,99,21900,26100,30700,35200,69200,47300
"202122","Tax year","National","K03000001","Great Britain","Materials and technology",36,67.6,79.8,86.3,90.5,100,32.4,32,21500,25800,32100,38100,58000,36500
"202122","Tax year","National","K03000001","Great Britain","Mathematical sciences",71,69.7,84.9,88.7,91.2,100,30.3,70,21900,32300,36800,40400,68600,46700
"202122","Tax year","National","K03000001","Great Britain","Media, journalism and communications",93,58.8,84.1,86.5,88.5,96.7,37.9,91,17700,23700,25200,28200,39500,21800
"202122","Tax year","National","K03000001","Great Britain","Medical sciences",52,70.8,89.6,92.9,95.2,100,29.2,48,28100,33000,36300,39100,50400,22300
"202122","Tax year","National","K03000001","Great Britain","Medicine and dentistry",35,86.3,90.9,92.8,93.9,100,13.7,35,33600,52000,52800,53800,56900,23400
"202122","Tax year","National","K03000001","Great Britain","Nursing and midwifery",75,76.9,92,93.5,94.8,100,23.1,73,24000,32100,33200,34900,46000,22000
"202122","Tax year","National","K03000001","Great Britain","Performing arts",117,73.7,83.9,87.2,89.8,100,26.3,116,17500,21200,22600,25200,34600,17100
"202122","Tax year","National","K03000001","Great Britain","Pharmacology, toxicology and pharmacy",40,63.6,88.2,90.8,94.1,97.3,33.7,37,25200,34300,39200,40200,47100,21900
"202122","Tax year","National","K03000001","Great Britain","Philosophy and religious studies",64,62.9,79.4,84.1,87.9,94.7,31.8,58,19700,24900,28700,31600,48900,29200
"202122","Tax year","National","K03000001","Great Britain","Physics and astronomy",43,77.8,85.2,87.8,89.8,100,22.2,42,27200,31800,35400,40100,54800,27600
"202122","Tax year","National","K03000001","Great Britain","Politics",78,59.5,79.8,84.1,87.6,100,40.5,75,20400,28800,31400,35600,48900,28500
"202122","Tax year","National","K03000001","Great Britain","Psychology",116,69.6,85.4,88.4,90.7,97.6,28.1,115,20400,24800,26300,28600,47800,27400
"202122","Tax year","National","K03000001","Great Britain","Sociology, social policy and anthropology",105,71.5,84.1,87.2,90,98.9,27.4,104,21200,24700,26600,28800,41000,19800
"202122","Tax year","National","K03000001","Great Britain","Sport and exercise sciences",82,75,86.8,90.2,92,100,25,77,21500,25200,26300,28500,35000,13500
"202122","Tax year","National","K03000001","Great Britain","Veterinary sciences",13,84.1,88.4,91.7,93.5,100,15.9,11,21900,25600,39400,40000,42700,20800
